2022-08-14|09:30|Grocery Trip|Aldi|43.75|checking
2022-12-02|15:45|Online Subscription|Spotify|9.99|savings
2023-01-18|11:00|Coffee|Starbucks|4.50|checking
2023-05-25|18:20|Dinner Out|Red Lobster|62.30|checking
2023-09-10|13:15|Tech Purchase|Best Buy|149.99|savings
2023-12-30|16:00|Electric Bill|Duke Energy|-112.78|checking
2024-02-14|08:00|Valentine's Gift|Target|27.00|checking
2024-04-03|20:45|Streaming Service|Netflix|15.49|savings
2024-06-01|10:10|Haircut|Supercuts|28.00|checking
2024-07-22|12:35|Car Gas|Shell|41.20|checking
2025-04-21|09:15|Grocery Run|Trader Joe's|54.29|Checking
2025-04-21|13:45|Lunch Out|Panera Bread|12.75|Checking
2025-04-22|18:30|Amazon Order|Amazon.com|102.50|Savings
2025-04-22|10:00|Coffee|Starbucks|4.50|Checking
2025-04-23|08:10|Gas Refill|Shell Station|42.00|Checking
2025-04-23|19:00|Streaming Subscription|Netflix|15.99|Checking
2025-04-24|11:00|New Shoes|DSW|89.99|Checking
2025-04-24|14:30|Tech Accessories|Best Buy|35.00|Savings
2025-04-25|16:20|Dinner Out|Olive Garden|47.20|Checking
2025-04-25|07:45|Morning Coffee|Dunkin'|3.25|Checking
2025-04-26|12:00|Public Transit|CATS Bus|2.25|Checking
2025-04-26|18:45|Beauty Supplies|Ulta|58.70|Savings
2025-04-27|15:00|Fast Food|Taco Bell|9.85|Checking
2025-04-27|17:20|Grocery Delivery|Instacart|78.10|Checking
2025-04-28|10:10|Dog Food|PetSmart|36.90|Checking
2025-04-28|20:00|Laundry|Local Laundromat|7.50|Checking
2025-04-28|14:30|Cleaning Supplies|Walmart|23.40|Checking
2025-04-28|11:50|Phone Accessories|Apple Store|65.00|Savings
2025-04-28|09:00|Gas|Exxon|39.50|Checking
2025-04-28|16:30|Online Class|Udemy|19.99|Savings
2025-04-21|07:30|Monthly Rent|Sunrise Apartments|1350.00|Checking
2025-04-21|12:00|Health Insurance Premium|Blue Cross Blue Shield|245.67|Savings
2025-04-21|18:10|Grocery Store Visit|Trader Joe's|92.15|Checking
2025-04-22|09:00|Car Insurance Payment|Geico|110.45|Savings
2025-04-22|16:30|Student Loan Payment|Navient|300.00|Checking
2025-04-23|11:00|Credit Card Payment|Chase|500.00|Checking
2025-04-23|13:45|Phone Bill Payment|Verizon|85.99|Checking
2025-04-23|17:20|Work Shoes Purchase|DSW|75.00|Checking
2025-04-24|08:00|Coffee Machine Purchase|Target|49.99|Savings
2025-04-24|15:30|Public Transportation Pass|Charlotte Transit|88.00|Checking
2025-04-24|20:00|Professional Certification Fee|CompTIA|349.00|Savings
2025-04-25|10:15|Gym Membership|LA Fitness|45.99|Checking
2025-04-25|14:00|Electricity Bill|Duke Energy|97.35|Checking
2025-04-26|09:20|Charity Donation|Red Cross|50.00|Savings
2025-04-26|13:50|Pet Food & Supplies|Chewy|62.10|Checking
2025-04-26|18:40|Annual Eye Exam|LensCrafters|120.00|Savings
2025-04-27|11:05|New Work Clothes|Express|140.75|Checking
2025-04-27|15:15|Groceries|Publix|75.88|Checking
2025-04-28|08:30|Home Internet Bill|Spectrum|74.99|Checking
2025-04-28|12:45|Office Supplies|Staples|35.22|Savings
2025-04-29|12:47|Deposit|Grandma|40.00|savings
2025-04-29|14:21|Deposit|Grandma|400.00|savings
2025-04-29|15:40|Deposit|Grandma|20.00|savings
2025-04-29|15:56|Deposit|grandma|20.00|savings
2025-04-29|16:05|Payment|grandma|-50.00|checking
2025-04-30|11:57|Payment|gas|-20.00|checking
2025-04-30|23:08|Deposit|Year Up United|50.00|savings
2025-04-30|23:09|Payment|Spotify|-10.00|checking
2025-05-01|02:05|Deposit|Wisely|50.00|savings
2025-05-01|02:07|Payment|NCL|-50.00|checking
2025-05-01|02:56|Deposit|Eclecting Boutique|150.00|checking
2025-05-01|02:57|Payment|gas|-30.50|checking
2025-05-01|10:07|Deposit|Amazon Shift|100.00|checking
2025-05-01|10:07|Payment|hair|-75.00|checking
2025-05-01|10:27|Deposit|Wisely|100.00|savings
2025-05-01|10:29|Payment|gas|-30.00|checking
